area,lon,lat,num_bed,num_bath,category,price,newprice,bank,cafe,clinic,college,hospital,mall,marketplace,medical_supply,parking,pharmacy,police,school,supermarket,university,priceP,point,pointPlus
43,105.797489,19.333755,6,3,2,184108.6957,"4,200,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
71,105.797489,19.333755,5,5,2,431934.7826,"9,900,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
32,105.78627,21.042413,5,5,2,173630.4348,"3,200,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
43,105.797489,19.333755,4,3,2,162369.5652,"3,700,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
33,105.785081,21.110698,3,3,2,86134.78261,"1,850,000,000",0,0,0,0,0,5,2,0,1,3,0,1,1,0,5700,15,2700
35,105.863266,20.984445,3,4,2,150834.7826,"3,000,000,000",8,10,1,2,1,10,2,1,2,8,0,5,5,0,20400,20,19200
28,105.797489,19.333755,5,4,2,81934.78261,"1,850,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
35,108.227058,16.020053,3,4,2,110795.6522,"2,500,000,000",0,10,1,0,0,5,0,0,0,1,0,0,2,0,2100,16,6000
50,105.78627,21.042413,4,3,2,186673.913,"3,500,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
54,105.797489,19.333755,4,3,2,271065.2174,"6,200,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
